created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2026-03-27T09:33:09+00:00,1,Object1: 27-03-2026 15:03:07 to 27-03-2026 15:03:08,"","","","","","","",,,,
2026-03-27T09:38:36+00:00,2,Object1: 27-03-2026 15:08:26 to 27-03-2026 15:08:31,"","","","","","","",,,,
2026-03-27T09:39:38+00:00,3,Object1: 27-03-2026 15:09:37 to 27-03-2026 15:09:37,"","","","","","","",,,,
2026-03-27T14:36:30+00:00,4,Object 1: 27-03-2026 20:06:29 - 27-03-2026 20:06:29,"","","","","","","",,,,Object 1: 27-03-2026 20:06:29 - 27-03-2026 20:06:29
2026-03-27T14:36:52+00:00,5,Object 2: 27-03-2026 20:06:50 - 27-03-2026 20:06:51,Object 1: 27-03-2026 20:06:29 - 27-03-2026 20:06:29,"","","","","","",,,,Object 2: 27-03-2026 20:06:50 - 27-03-2026 20:06:51
2026-03-27T14:38:36+00:00,6,Object 3: 27-03-2026 20:08:32 - 27-03-2026 20:08:32,Object 2: 27-03-2026 20:06:50 - 27-03-2026 20:06:51,Object 1: 27-03-2026 20:06:29 - 27-03-2026 20:06:29,"","","","","",,,,Object 3: 27-03-2026 20:08:32 - 27-03-2026 20:08:32
2026-03-27T14:40:21+00:00,7,Object 4: 27-03-2026 20:08:56 - 27-03-2026 20:10:21,Object 3: 27-03-2026 20:08:32 - 27-03-2026 20:08:32,Object 2: 27-03-2026 20:06:50 - 27-03-2026 20:06:51,Object 1: 27-03-2026 20:06:29 - 27-03-2026 20:06:29,"","","","",,,,Object 4: 27-03-2026 20:08:56 - 27-03-2026 20:10:21
2026-03-27T14:40:43+00:00,8,Object 5: 27-03-2026 20:10:42 - 27-03-2026 20:10:42,Object 4: 27-03-2026 20:08:56 - 27-03-2026 20:10:21,Object 3: 27-03-2026 20:08:32 - 27-03-2026 20:08:32,Object 2: 27-03-2026 20:06:50 - 27-03-2026 20:06:51,Object 1: 27-03-2026 20:06:29 - 27-03-2026 20:06:29,"","","",,,,Object 5: 27-03-2026 20:10:42 - 27-03-2026 20:10:42
2026-03-27T14:41:45+00:00,9,Object 6: 27-03-2026 20:11:44 - 27-03-2026 20:11:44,Object 5: 27-03-2026 20:10:42 - 27-03-2026 20:10:42,Object 4: 27-03-2026 20:08:56 - 27-03-2026 20:10:21,Object 3: 27-03-2026 20:08:32 - 27-03-2026 20:08:32,Object 2: 27-03-2026 20:06:50 - 27-03-2026 20:06:51,Object 1: 27-03-2026 20:06:29 - 27-03-2026 20:06:29,"","",,,,Object 6: 27-03-2026 20:11:44 - 27-03-2026 20:11:44
2026-06-13T07:40:07+00:00,10,Object 1: 13-06-2026 13:10:06 to 13-06-2026 13:10:06,,,,,,,,,,,Object 1: 13-06-2026 13:10:06 to 13-06-2026 13:10:06
